;Nama;Spesialisasi;Fakultas;Link Scholar
54;Muhammad Hambal., Dr. drh;Biologi Molekuler, Parasitologi, satwa liar, herbal medicine;FKH;https://scholar.google.co.id/citations?hl=id&view_op=list_works&gmla=AJsN-F5UA-jtFw2oO_-joOtqJKQtCMXyKBNIL7dxlqCOg26sNQbhtSsnFREnmwshDUbl1dn0X2Hy1c97W8-BLJNWZvToumwHRhKlxMJyiewwZH3RBtZ8Ofc&user=co_jff0AAAAJ
55;Muslim Akmal., Prof. Dr. drh., M.P. ;Histologi (Imunohistokimia) / Spermatogenesis Molekular;FKH;https://scholar.google.co.id/citations?user=tFrO550AAAAJ&hl=id
56;Nurliana., Dr. drh., M.Si ;kesehatan masyarakat veteriner, saint veteriner;FKH;https://scholar.google.co.id/citations?user=E0o4C14AAAAJ&hl=en
57;Nuzul Asmilia., Dr. drh., M.Si ;Tropical Medicine, Malaria, Veterinary;FKH;https://scholar.google.co.id/citations?user=hUTgnp8AAAAJ&hl=en&authuser=1
58;Razali., Dr. drh., M.Si ;Kesmavet;FKH;https://scholar.google.com/citations?user=I9QuYOcAAAAJ&hl=en&authuser=1
59;Rinidar., Dr.drh., M.Kes ;Farmakologi;FKH;https://scholar.google.co.id/citations?user=R4-DjXsAAAAJ&hl=en
60;Siti Rani Ayuti., S.Pt., M.Si. ;;FKH;https://scholar.google.com/citations?hl=en&user=qLTn3OAAAAAJ&view_op=list_works&gmla=AJsN-F6O2AC7GK_qaC7UGxGzPwAU8_yKXnvTAr8r3iHwLlT4qVdDOwztbRZILJ-RDGI53nZxKRHc6AgcCm4ckPoxuV_DxdnzsZJXHLJhXImnUEvyly3h7DM
61;Sri Wahyuni., Dr. drh., M.Si ;;FKH;https://scholar.google.co.id/citations?user=SEC5v7AAAAAJ&hl=id&oi=pll
62;Sugito., Dr. Drh., M.Si ;Stres Panas dan penggunaan herbal pada hewan;FKH;https://scholar.google.co.id/citations?hl=id&user=yycUp7UAAAAJ
63;Syafruddin., drh., M.P. ;Veterinary Surgeon, Reproductive Surgery, Pseudopregnancy ;FKH;https://scholar.google.co.id/citations?user=Ti6c_6MAAAAJ&hl=id&oi=sra
64;T. Armansyah TR., drh., M.Kes ;Kedokteran Hewan, Farmakologi;FKH;https://scholar.google.co.id/citations?user=rRqCL0YAAAAJ&hl=en
65;T. Fadrial Karmil., Dr. drh., M.Si ;PENYAKIT DALAM HEWAN, IMMUNODIAGNOSTIK;FKH;https://scholar.google.co.id/citations?hl=en&authuser=1&user=a7VpNrYAAAAJ
66;Teuku Reza Ferasyi., Dr. drh., M.Sc., Ph.D ;;FKH;https://scholar.google.co.id/citations?user=gRRgVN4AAAAJ&hl=en
67;Teuku Zahrial Helmi., Dr. drh., M.Sc ;"Veterinary Science; Biochemistry; Molecular Biology; Genetic; Virology";FKH;https://scholar.google.co.id/citations?user=1_M9WX4AAAAJ&hl=en
68;Tongku Nizwan Siregar., Prof. Dr. drh., M.P ;Reproduksi Sapi Aceh;FKH;https://scholar.google.com/citations?hl=en&user=g3lLes0AAAAJ
69;Triva Murtina Lubis., drh., M.P. ;Fisiologi Hewan, Fisiologi Reproduksi;FKH;https://scholar.google.co.id/citations?user=3SwHjIcAAAAJ&hl=en&oi=ao
70;Ummu Balqis., Prof. Dr. drh., M.Si ;Patologi (Kedokteran Hewan);FKH;
71;Winaruddin., drh., M.Si ;Parasitologi/Entomologi;FKH;https://scholar.google.co.id/citations?hl=id&user=kSMsKNEAAAAJ&view_op=list_works&citft=1&citft=2&citft=3&email_for_op=winaruddin%40unsyiah.ac.id&gmla=AJsN-F6nyGU5rr7f6_qbe6PTgUObIBBv7wO2-8DedpHVR8sEKa9nd3xA3piBhKwM-3mV9XAt54uFOBkZYog8HV61krWoyQkBig
72;Adwani., Prof. Dr., SH, M.Hum ;"Legal Study; International law.";FH;https://scholar.google.co.id/citations?hl=en&user=mZXapc4AAAAJ
73;Azhari., Dr., S.H., MCL, M.A. ;FINANCIAL LAW, TAX LAW;FH;https://scholar.google.com/citations?hl=en&user=J472qOkAAAAJ
74;Eddy Purnama., Prof. Dr., S.H, M.Hum ;"Hukum Tata Negara; Hukum Pemerintahan Daerah";FH;https://scholar.google.com/citations?user=Oei0fK4AAAAJ&hl=id
75;Ilyas., Prof. Dr., S.H., M.Hum ;Hukum Agraria;FH;https://scholar.google.com/citations?user=qhUwBd0AAAAJ&hl=en
76;Mahdi Syahbandir., Dr., S.H., M.Hum. ;Ilmu Hukum;FH;https://scholar.google.co.id/citations?user=hQKz1ogAAAAJ&hl=en
77;Muhammad Ya'kub Aiyub Kadir., S.Ag., LLM, PhD ;International Law, Human Rights Law, Refugee Law, Investment Law, Peace and Development;FH;https://scholar.google.co.id/citations?user=k19fOzEAAAAJ&hl=en
78;Mujibussalim., Dr., SH, M.Hum ;Ilmu Hukum;FH;https://scholar.google.com/citations?user=4L1siqUAAAAJ&hl=en
79;Sri Walny Rahayu., Dr., S.H., M.Hum. ;Alternatif Penyelesaian Sengketa, HKI, Hukum Adat, Hukum Perlindungan Konsumen, Studi Gender dan Perlindungan Anak;FH;https://scholar.google.co.id/citations?user=Cr_NzYAAAAAJ&hl=id
80;Syarifuddin., Dr., S.H., M.Hum. ;Hukum Tata Negara / Hukum Administrasi Negara;FH;https://scholar.google.co.id/citations?view_op=list_works&hl=en&user=c2QHoBYAAAAJ
81;Abrar Muslim., Prof. Dr., S.T., M.Eng. ;Teknologi Proses;FT;https://scholar.google.com/citations?hl=en&user=sgk49g8AAAAJ
